class,method,confidence_tier,dll_verified_status,revitlookup_referenced,requires_doc_context,evidence,source_url,arity,is_static,return_type_confirmed,mutates_state,notes
CompoundStructure,GetDeckProfileId,unverified_reference,signature_verified_declared,,,"return type is 'ElementId', an ID wrapper, but member name gives no strong hint of the target type",https://www.revitapidocs.com/2025/995814e7-0265-2472-82b7-8b46586e817c.htm,1-arg -- int layerIdx,instance,Evidence made no explicit return-type claim (name-pattern match only). Ground-truth return type: ElementId.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public ElementId GetDeckProfileId ( int layerIdx )` Documented exceptions: Exception Condition ArgumentOutOfRangeException The layer index is out of range."
CompoundStructure,GetRegionEnvelope,unverified_reference,signature_verified_declared,,,return type 'BoundingBoxUV' directly names a Revit DB object type,https://www.revitapidocs.com/2025/ab2f1bd3-bd9b-5f73-4a0d-0af599bcc173.htm,1-arg -- int regionId,instance,Matches evidence. Ground-truth return type: BoundingBoxUV.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public BoundingBoxUV GetRegionEnvelope ( int regionId )` Documented exceptions: Exception Condition ArgumentException It is not a valid region id. InvalidOperationException This operation is valid only for vertically compound structures. Remarks: This envelope indicates the external boundary of the region. The coordinate system it defines is used in the results of GetSegmentCoordinate()."
Element,GetChangeTypeAny,unverified_reference,signature_verified_declared,,,return type 'ChangeType' directly names a Revit DB object type,https://www.revitapidocs.com/2025/e9a0bce4-b289-1ea1-05d0-c0fc2943f8dd.htm,zero-arg,STATIC,Matches evidence. Ground-truth return type: ChangeType.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public static ChangeType GetChangeTypeAny ()` Remarks: Use this change type to trigger an Updater when elements change in any way. For maximum efficiency, we recommend the use of ChangeTypeParameter and ChangeTypeGeometry, if applicable, instead. Caution: Changes to an element by an Updater using this trigger will result in re-triggering of the Updater. For example, Updater1 triggers on ChangeTypeAny on Element X. A Revit user modifies parameter A of X. Updater1 is triggered and modifies X's parameter B. The change in parameter B, triggers another call to Updater1.Execute(). If Updater1 continues to modify X, it can run into an infinite loop. Infinite loops are detected by Revit and result in the Updater being disabled. Note: This change type will not trigger on newly created or deleted elements or on changes caused by Undo and Redo."
Element,GetChangeTypeElementAddition,unverified_reference,signature_verified_declared,,,return type 'ChangeType' directly names a Revit DB object type,https://www.revitapidocs.com/2025/9f7a0758-21b5-bba6-5d26-9e1f40d29f7f.htm,zero-arg,STATIC,Matches evidence. Ground-truth return type: ChangeType.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public static ChangeType GetChangeTypeElementAddition ()` Remarks: Use this change type to trigger an Updater on the addition of elements to a document. Note: This change type will not trigger on changes caused by Undo and Redo."
Element,GetChangeTypeElementDeletion,unverified_reference,signature_verified_declared,,,return type 'ChangeType' directly names a Revit DB object type,https://www.revitapidocs.com/2025/d2f0d0dd-d01b-3296-8248-068baec486cf.htm,zero-arg,STATIC,Matches evidence. Ground-truth return type: ChangeType.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public static ChangeType GetChangeTypeElementDeletion ()` Remarks: ChangeType that can be used to define a trigger for an Updater, Use this change type to trigger an Updater on the deletion of elements from a document. Note: This change type will not trigger on changes caused by Undo and Redo."
Element,GetChangeTypeGeometry,unverified_reference,signature_verified_declared,,,return type 'ChangeType' directly names a Revit DB object type,https://www.revitapidocs.com/2025/45751c5b-6d10-657a-a017-04219d1a5ac8.htm,zero-arg,STATIC,Matches evidence. Ground-truth return type: ChangeType.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public static ChangeType GetChangeTypeGeometry ()` Remarks: Use this change type to trigger an Updater when the geometry of an element changes. For example, changes like cutting a hole in a wall or adjusting its height are considered to be geometric changes. Note: This change type will not trigger on newly created or deleted elements or on changes caused by Undo and Redo."
Element,GetEntity,unverified_reference,signature_verified_declared,True,True,return type 'Entity' directly names a Revit DB object type,https://www.revitapidocs.com/2025/09d80bf1-c1d0-aa2e-4f18-e5a5e9c9d93f.htm,1-arg -- Schema schema,instance,Matches evidence. Ground-truth return type: Entity.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public Entity GetEntity ( Schema schema )` Documented exceptions: Exception Condition ArgumentException Reading of Entities of this Schema is not allowed to the current add-in. ArgumentNullException A non-optional argument was null Remarks: The Entity that is returned is a copy of the stored data (with copy-on-write optimization). Modifying it is allowed (even with restricted write), but to save your changes you must call SetEntity."
Element,GetExternalFileReference,unverified_reference,signature_verified_declared,,,return type 'ExternalFileReference' directly names a Revit DB object type,https://www.revitapidocs.com/2025/e784fb6e-94f4-09bd-1f9c-17e6968e18a5.htm,zero-arg,instance,Matches evidence. Ground-truth return type: ExternalFileReference.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public ExternalFileReference GetExternalFileReference ()` Documented exceptions: Exception Condition InvalidOperationException This Element does not represent an external file."
Element,GetMonitoredLinkElementIds,unverified_reference,signature_verified_declared,,,return type 'IList < ElementId >' is a collection of ID wrappers with no strong name hint,https://www.revitapidocs.com/2025/42b25291-f1b9-d240-c876-1b53f24f60e0.htm,zero-arg,instance,Matches evidence. Ground-truth return type: IList < ElementId >.,No -- no Transaction/regeneration/document-mutation language anywhere in the page (Syntax/Parameters/Return Value/Exceptions/Remarks all read).,"VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public IList < ElementId > GetMonitoredLinkElementIds ()`"
Element,GetMonitoredLocalElementIds,unverified_reference,signature_verified_declared,,,return type 'IList < ElementId >' is a collection of ID wrappers with no strong name hint,https://www.revitapidocs.com/2025/47ca1e8c-f79d-a18b-505b-73a4358d2264.htm,zero-arg,instance,Matches evidence. Ground-truth return type: IList < ElementId >.,No -- no Transaction/regeneration/document-mutation language anywhere in the page (Syntax/Parameters/Return Value/Exceptions/Remarks all read).,"VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public IList < ElementId > GetMonitoredLocalElementIds ()`"
Element,GetValidTypes,unverified_reference,signature_verified_declared,,,return type 'ICollection < ElementId >' is a collection of ID wrappers with no strong name hint,https://www.revitapidocs.com/2025/086554ba-3c70-9c0f-8a09-55a4da4ef905.htm,zero-arg,instance,Matches evidence. Ground-truth return type: ICollection < ElementId >.,No -- no Transaction/regeneration/document-mutation language anywhere in the page (Syntax/Parameters/Return Value/Exceptions/Remarks all read).,"VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public ICollection < ElementId > GetValidTypes ()`"
ElementType,GetSimilarTypes,unverified_reference,signature_verified_declared,,,return type 'ICollection < ElementId >' is a collection of ID wrappers with no strong name hint,https://www.revitapidocs.com/2025/2719ca23-11c7-dda4-6291-9a4f0cebfb21.htm,zero-arg,instance,Matches evidence. Ground-truth return type: ICollection < ElementId >.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public ICollection < ElementId > GetSimilarTypes ()` Remarks: Two types are similar if elements that have one type could be assigned the other type."
FamilySymbol,GetStructuralSection,unverified_reference,signature_verified_declared,,,return type 'StructuralSection' directly names a Revit DB object type,https://www.revitapidocs.com/2025/99fb2804-0763-d6d1-13e7-7f49ff85fb68.htm,zero-arg,instance,Matches evidence. Ground-truth return type: StructuralSection.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public StructuralSection GetStructuralSection ()` Remarks: Only beams, braces and structural columns can have a structural section. To check if the element can have structural section use the [!:Family.HasStructuralSection()] method."
FamilySymbol,GetThermalProperties,unverified_reference,signature_verified_declared,,,return type 'FamilyThermalProperties' directly names a Revit DB object type,https://www.revitapidocs.com/2025/ee19d344-addf-af6e-255b-725103cf2bd7.htm,zero-arg,instance,Matches evidence. Ground-truth return type: FamilyThermalProperties.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public FamilyThermalProperties GetThermalProperties ()` Remarks: Doors, windows, and curtain wall panels will have thermal properties."
FillPatternElement,GetFillPattern,unverified_reference,signature_verified_declared,,,"member name 'GetFillPattern' matches keyword pattern /FillPattern/ implying target 'FillPatternElement', but the actual return type 'FillPattern' conflicts -- treating the name match as a coincidental collision rather than relationship evidence",https://www.revitapidocs.com/2025/ab2f6e79-2aef-2cac-0d53-bb2651ced0bc.htm,zero-arg,instance,Matches evidence. Ground-truth return type: FillPattern.,No -- no Transaction/regeneration/document-mutation language anywhere in the page (Syntax/Parameters/Return Value/Exceptions/Remarks all read).,"VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public FillPattern GetFillPattern ()`"
LinePatternElement,GetLinePattern,unverified_reference,signature_verified_declared,,,"member name 'GetLinePattern' matches keyword pattern /LinePattern/ implying target 'LinePatternElement', but the actual return type 'LinePattern' conflicts -- treating the name match as a coincidental collision rather than relationship evidence",https://www.revitapidocs.com/2025/da768e39-4e08-7586-6665-95c13c69f7b4.htm,zero-arg,instance,Matches evidence. Ground-truth return type: LinePattern.,No -- no Transaction/regeneration/document-mutation language anywhere in the page (Syntax/Parameters/Return Value/Exceptions/Remarks all read).,"VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public LinePattern GetLinePattern ()`"
LinePatternElement,GetSolidPatternId,unverified_reference,signature_verified_declared,,,"return type is 'ElementId', an ID wrapper, but member name gives no strong hint of the target type",https://www.revitapidocs.com/2025/e52c87b7-4544-372f-70a6-00188f6fd252.htm,zero-arg,STATIC,Evidence made no explicit return-type claim (name-pattern match only). Ground-truth return type: ElementId.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public static ElementId GetSolidPatternId ()` Remarks: Note that Solid is special. It isn't a line pattern at all -- it is a special code that tells drawing and export code to use solid lines rather than patterned lines. Solid is visible to the user when selecting line patterns. Prior pass flagged moderate confidence (WebSearch described it as static zero-arg but didn't quote a full signature, and other LinePatternElement statics take a Document param). Ground truth confirms `public static ElementId GetSolidPatternId ()` -- static, zero-arg, no Document parameter. Confidence upgraded to confirmed; still excluded from the clean set for being static, not instance."
ParameterFilterElement,GetCategories,unverified_reference,signature_verified_declared,,,return type 'ICollection < ElementId >' is a collection of ID wrappers with no strong name hint,https://www.revitapidocs.com/2025/7e497437-277e-8e15-bdc5-9065d868f464.htm,zero-arg,instance,Matches evidence. Ground-truth return type: ICollection < ElementId >.,No -- no Transaction/regeneration/document-mutation language anywhere in the page (Syntax/Parameters/Return Value/Exceptions/Remarks all read).,"VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public ICollection < ElementId > GetCategories ()`"
ParameterFilterElement,GetElementFilter,unverified_reference,signature_verified_declared,,,return type 'ElementFilter' directly names a Revit DB object type,https://www.revitapidocs.com/2025/9b14bfc0-597d-36ab-77d6-d801c3053873.htm,zero-arg,instance,Matches evidence. Ground-truth return type: ElementFilter.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public ElementFilter GetElementFilter ()` Remarks: May return when no rules are sprcified in ParameterFilterElement, only categories. Note that in some situation, calling GetElementFilter after calling SetElementFilter may return an ElementFilter that is structurally different from the one passed as input to SetElementFilter. For example, if the input ElementFilter contains an ElementParameterFilter that contains more than one FilterRule, and if the view filters dialog box is used in between the calls to SetElementFilter and GetElementFilter, the output ElementFilter will use a single ElementParameterFilter for each of the FilterRules that were bundled in an input ElementParameterFilter. The two ElementFilters will be logically and functionally equivalent in the sense that any given Element will either be accepted by both ElementFilters or rejected by both ElementFilters."
Subelement,GetReference,unverified_reference,signature_verified_declared,,,return type 'Reference' directly names a Revit DB object type,https://www.revitapidocs.com/2025/62e0779b-25c1-b83a-0a13-ed2bf9cececc.htm,zero-arg,instance,Matches evidence. Ground-truth return type: Reference.,No -- no Transaction/regeneration/document-mutation language anywhere in the page (Syntax/Parameters/Return Value/Exceptions/Remarks all read).,"VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public Reference GetReference ()`"
Subelement,GetValidTypes,unverified_reference,signature_verified_declared,,,return type 'ISet < ElementId >' is a collection of ID wrappers with no strong name hint,https://www.revitapidocs.com/2025/e39919d5-4bca-bdf4-4e24-c73e03cf147a.htm,zero-arg,instance,Matches evidence. Ground-truth return type: ISet < ElementId >.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public ISet < ElementId > GetValidTypes ()` Remarks: A type is valid for a subelement if it can be assigned to the subelement."
View,GetBackground,unverified_reference,signature_verified_declared,,,return type 'ViewDisplayBackground' directly names a Revit DB object type,https://www.revitapidocs.com/2025/0f62287e-e8b8-0f6a-ab07-b246b0f42c7f.htm,zero-arg,instance,Matches evidence. Ground-truth return type: ViewDisplayBackground.,No -- no Transaction/regeneration/document-mutation language anywhere in the page (Syntax/Parameters/Return Value/Exceptions/Remarks all read).,"VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public ViewDisplayBackground GetBackground ()`"
View,GetCalloutParentId,unverified_reference,signature_verified_declared,,,"return type is 'ElementId', an ID wrapper, but member name gives no strong hint of the target type",https://www.revitapidocs.com/2025/aa470950-40bc-6ec8-2c91-f6f423b8cc2e.htm,zero-arg,instance,Evidence made no explicit return-type claim (name-pattern match only). Ground-truth return type: ElementId.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public ElementId GetCalloutParentId ()` Documented exceptions: Exception Condition InvalidOperationException This view is not a callout."
