fingerprint_domain,domain_label,api_concepts,concept_count,concepts_in_semantic_core,concepts_outside_semantic_core,unresolved_concepts,mapping_status,mapping_basis,current_extractor_reference,notes
object_styles_analytical,Object Styles Analytical,Autodesk.Revit.DB.Category;Autodesk.Revit.DB.GraphicsStyle;Autodesk.Revit.DB.LinePatternElement,3,Autodesk.Revit.DB.Category;Autodesk.Revit.DB.GraphicsStyle;Autodesk.Revit.DB.LinePatternElement,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/object_styles.py,candidate mapping only; project domain name remains authoritative
object_styles_annotation,Object Styles Annotation,Autodesk.Revit.DB.Category;Autodesk.Revit.DB.GraphicsStyle;Autodesk.Revit.DB.LinePatternElement,3,Autodesk.Revit.DB.Category;Autodesk.Revit.DB.GraphicsStyle;Autodesk.Revit.DB.LinePatternElement,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/object_styles.py,candidate mapping only; project domain name remains authoritative
object_styles_imported,Object Styles Imported,Autodesk.Revit.DB.Category;Autodesk.Revit.DB.GraphicsStyle,2,Autodesk.Revit.DB.Category;Autodesk.Revit.DB.GraphicsStyle,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/object_styles.py,candidate mapping only; project domain name remains authoritative
object_styles_model,Object Styles Model,Autodesk.Revit.DB.Category;Autodesk.Revit.DB.GraphicsStyle;Autodesk.Revit.DB.LinePatternElement;Autodesk.Revit.DB.Material,4,Autodesk.Revit.DB.Category;Autodesk.Revit.DB.GraphicsStyle;Autodesk.Revit.DB.LinePatternElement;Autodesk.Revit.DB.Material,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/object_styles.py,candidate mapping only; project domain name remains authoritative
phase_filters,Phase Filters,Autodesk.Revit.DB.PhaseFilter,1,Autodesk.Revit.DB.PhaseFilter,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/phase_filters.py,candidate mapping only; project domain name remains authoritative
phase_graphics,Phase Graphics,,0,,,,zero_concepts,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/phase_graphics.py,unsupported API-unreachable contract-only domain
phases,Phases,Autodesk.Revit.DB.Phase,1,Autodesk.Revit.DB.Phase,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/phases.py,candidate mapping only; project domain name remains authoritative
roof_types,Roof Types,Autodesk.Revit.DB.RoofType;Autodesk.Revit.DB.CompoundStructure;Autodesk.Revit.DB.CompoundStructureLayer;Autodesk.Revit.DB.Material,4,Autodesk.Revit.DB.RoofType;Autodesk.Revit.DB.CompoundStructure;Autodesk.Revit.DB.CompoundStructureLayer;Autodesk.Revit.DB.Material,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/compound_types.py,candidate mapping only; project domain name remains authoritative
text_types,Text Types,Autodesk.Revit.DB.TextNoteType,1,Autodesk.Revit.DB.TextNoteType,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/text_types.py,candidate mapping only; project domain name remains authoritative
units,Units,Autodesk.Revit.DB.Units;Autodesk.Revit.DB.FormatOptions,2,Autodesk.Revit.DB.Units;Autodesk.Revit.DB.FormatOptions,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/units.py,candidate mapping only; project domain name remains authoritative
view_category_overrides_annotation,View Category Overrides Annotation,Autodesk.Revit.DB.View;Autodesk.Revit.DB.Category;Autodesk.Revit.DB.OverrideGraphicSettings,3,Autodesk.Revit.DB.View;Autodesk.Revit.DB.Category,Autodesk.Revit.DB.OverrideGraphicSettings,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/view_category_overrides_annotation.py,candidate mapping only; project domain name remains authoritative
view_category_overrides_model,View Category Overrides Model,Autodesk.Revit.DB.View;Autodesk.Revit.DB.Category;Autodesk.Revit.DB.OverrideGraphicSettings,3,Autodesk.Revit.DB.View;Autodesk.Revit.DB.Category,Autodesk.Revit.DB.OverrideGraphicSettings,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/view_category_overrides_model.py,candidate mapping only; project domain name remains authoritative
view_filter_applications_view_templates,View Filter Applications View Templates,Autodesk.Revit.DB.View;Autodesk.Revit.DB.ParameterFilterElement;Autodesk.Revit.DB.OverrideGraphicSettings,3,Autodesk.Revit.DB.View;Autodesk.Revit.DB.ParameterFilterElement,Autodesk.Revit.DB.OverrideGraphicSettings,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/view_filter_applications_view_templates.py,candidate mapping only; project domain name remains authoritative
view_filter_definitions,View Filter Definitions,Autodesk.Revit.DB.ParameterFilterElement;Autodesk.Revit.DB.ElementFilter;Autodesk.Revit.DB.Category,3,Autodesk.Revit.DB.ParameterFilterElement;Autodesk.Revit.DB.Category,Autodesk.Revit.DB.ElementFilter,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/view_filter_definitions.py,candidate mapping only; project domain name remains authoritative
view_templates_ceiling_plans,View Templates Ceiling Plans,Autodesk.Revit.DB.View;Autodesk.Revit.DB.ParameterFilterElement;Autodesk.Revit.DB.PhaseFilter,3,Autodesk.Revit.DB.View;Autodesk.Revit.DB.ParameterFilterElement;Autodesk.Revit.DB.PhaseFilter,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/view_templates.py,candidate mapping only; project domain name remains authoritative
view_templates_elevations_sections_detail,View Templates Elevations Sections Detail,Autodesk.Revit.DB.View;Autodesk.Revit.DB.ParameterFilterElement;Autodesk.Revit.DB.PhaseFilter,3,Autodesk.Revit.DB.View;Autodesk.Revit.DB.ParameterFilterElement;Autodesk.Revit.DB.PhaseFilter,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/view_templates.py,candidate mapping only; project domain name remains authoritative
view_templates_floor_structural_area_plans,View Templates Floor Structural Area Plans,Autodesk.Revit.DB.View;Autodesk.Revit.DB.ParameterFilterElement;Autodesk.Revit.DB.PhaseFilter,3,Autodesk.Revit.DB.View;Autodesk.Revit.DB.ParameterFilterElement;Autodesk.Revit.DB.PhaseFilter,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/view_templates.py,candidate mapping only; project domain name remains authoritative
view_templates_renderings_drafting,View Templates Renderings Drafting,Autodesk.Revit.DB.View;Autodesk.Revit.DB.ParameterFilterElement;Autodesk.Revit.DB.PhaseFilter,3,Autodesk.Revit.DB.View;Autodesk.Revit.DB.ParameterFilterElement;Autodesk.Revit.DB.PhaseFilter,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/view_templates.py,candidate mapping only; project domain name remains authoritative
view_templates_schedules,View Templates Schedules,Autodesk.Revit.DB.ViewSchedule;Autodesk.Revit.DB.PhaseFilter,2,Autodesk.Revit.DB.ViewSchedule;Autodesk.Revit.DB.PhaseFilter,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/view_templates.py,candidate mapping only; project domain name remains authoritative
wall_types,Wall Types,Autodesk.Revit.DB.WallType;Autodesk.Revit.DB.CompoundStructure;Autodesk.Revit.DB.CompoundStructureLayer;Autodesk.Revit.DB.Material,4,Autodesk.Revit.DB.WallType;Autodesk.Revit.DB.CompoundStructure;Autodesk.Revit.DB.CompoundStructureLayer;Autodesk.Revit.DB.Material,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/compound_types.py,candidate mapping only; project domain name remains authoritative
