source,member_name,member_kind,edge_type,target,source_url,edge_discriminator,target_resolution,source_in_core_projection,target_in_core_projection,signature_verification_state,semantic_validation_state,fingerprint_relevance_state,classification,rationale,candidate_domain,candidate_relationship,recommended_follow_up,community_used_as_archetype
Autodesk.Revit.DB.DirectShapeType,GetExternallyTaggedGeometry,method,TAGS_ELEMENT,Autodesk.Revit.DB.ExternallyTaggedGeometryObject,https://www.revitapidocs.com/2025/60d0ba59-5345-dbd0-e92a-0f2d71d709de.htm,https://www.revitapidocs.com/2025/60d0ba59-5345-dbd0-e92a-0f2d71d709de.htm,exact,yes,no,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.DirectShapeType,GetExternallyTaggedReference,method,TAGS_ELEMENT,Autodesk.Revit.DB.Reference,https://www.revitapidocs.com/2025/612c51c5-c97d-19ce-2ced-209fd6e7a92a.htm,https://www.revitapidocs.com/2025/612c51c5-c97d-19ce-2ced-209fd6e7a92a.htm,exact,yes,no,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.Document,GetPaintedMaterial,method,USES_MATERIAL,Autodesk.Revit.DB.Material,https://www.revitapidocs.com/2025/6f40681b-18ba-6d8d-b00f-9f3922466a37.htm,https://www.revitapidocs.com/2025/6f40681b-18ba-6d8d-b00f-9f3922466a37.htm,exact,no,yes,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.DuplicateTypeNamesHandlerArgs,Document,property,REFERENCES,Autodesk.Revit.DB.Document,https://www.revitapidocs.com/2025/9b6e3a58-87f0-b3b6-0432-0e3fffed5040.htm,https://www.revitapidocs.com/2025/9b6e3a58-87f0-b3b6-0432-0e3fffed5040.htm,exact,no,no,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.Element,GetChangeTypeParameter,method,HAS_PARAMETER,Autodesk.Revit.DB.ChangeType,https://www.revitapidocs.com/2025/19ee7026-0e04-5bd2-b046-b14b59d4bc4e.htm,https://www.revitapidocs.com/2025/19ee7026-0e04-5bd2-b046-b14b59d4bc4e.htm,exact,yes,no,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.Element,GetChangeTypeParameter,method,HAS_PARAMETER,Autodesk.Revit.DB.ChangeType,https://www.revitapidocs.com/2025/6b0460f6-8db3-970c-d2d9-a1b5e470eb1e.htm,https://www.revitapidocs.com/2025/6b0460f6-8db3-970c-d2d9-a1b5e470eb1e.htm,exact,yes,no,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.ElementRecord,GetCategoryId,method,HAS_CATEGORY,Autodesk.Revit.DB.Category,https://www.revitapidocs.com/2025/33a5395f-c9cd-2a97-7b98-d156f9b1232d.htm,https://www.revitapidocs.com/2025/33a5395f-c9cd-2a97-7b98-d156f9b1232d.htm,exact,no,yes,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.Face,MaterialElementId,property,USES_MATERIAL,Autodesk.Revit.DB.Material,https://www.revitapidocs.com/2025/0f496bcd-fd05-f1dc-6cc7-d496541fd6ae.htm,https://www.revitapidocs.com/2025/0f496bcd-fd05-f1dc-6cc7-d496541fd6ae.htm,exact,no,yes,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.FamilyInstance,HostFace,property,HOSTED_BY,Autodesk.Revit.DB.Reference,https://www.revitapidocs.com/2025/e795508b-bb6a-4f76-e282-57aa6f7074e5.htm,https://www.revitapidocs.com/2025/e795508b-bb6a-4f76-e282-57aa6f7074e5.htm,exact,yes,no,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.FamilyInstance,Location,property,REFERENCES,Autodesk.Revit.DB.Location,https://www.revitapidocs.com/2025/847ff799-9b1b-0982-f55a-7273c55b196d.htm,https://www.revitapidocs.com/2025/847ff799-9b1b-0982-f55a-7273c55b196d.htm,exact,yes,no,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.FamilyManager,AddParameter,method,HAS_PARAMETER,Autodesk.Revit.DB.FamilyParameter,https://www.revitapidocs.com/2025/3ac89d60-4b71-694f-002f-125d2e6565fc.htm,https://www.revitapidocs.com/2025/3ac89d60-4b71-694f-002f-125d2e6565fc.htm,exact,no,no,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.FamilyManager,AddParameter,method,HAS_PARAMETER,Autodesk.Revit.DB.FamilyParameter,https://www.revitapidocs.com/2025/8425ca9a-9db2-d06a-7540-bc8e686a7566.htm,https://www.revitapidocs.com/2025/8425ca9a-9db2-d06a-7540-bc8e686a7566.htm,exact,no,no,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.FamilyManager,AddParameter,method,HAS_PARAMETER,Autodesk.Revit.DB.FamilyParameter,https://www.revitapidocs.com/2025/bff507b1-caa3-bf4c-f7f1-c56cade391f8.htm,https://www.revitapidocs.com/2025/bff507b1-caa3-bf4c-f7f1-c56cade391f8.htm,exact,no,no,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.FamilyManager,GetAssociatedFamilyParameter,method,HAS_PARAMETER,Autodesk.Revit.DB.FamilyParameter,https://www.revitapidocs.com/2025/ada33bdc-f484-c4a6-3713-6946dabd5fcf.htm,https://www.revitapidocs.com/2025/ada33bdc-f484-c4a6-3713-6946dabd5fcf.htm,exact,no,no,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.FamilyManager,GetParameter,method,HAS_PARAMETER,Autodesk.Revit.DB.FamilyParameter,https://www.revitapidocs.com/2025/9c22c68a-8fd5-850e-9aa8-cf7298ceebd0.htm,https://www.revitapidocs.com/2025/9c22c68a-8fd5-850e-9aa8-cf7298ceebd0.htm,exact,no,no,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.FamilyManager,Parameters,property,HAS_PARAMETER,Autodesk.Revit.DB.FamilyParameterSet,https://www.revitapidocs.com/2025/bef4c199-44d9-63b9-80e7-1a6b20a1062a.htm,https://www.revitapidocs.com/2025/bef4c199-44d9-63b9-80e7-1a6b20a1062a.htm,exact,no,no,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.FamilyManager,ReplaceParameter,method,HAS_PARAMETER,Autodesk.Revit.DB.FamilyParameter,https://www.revitapidocs.com/2025/9ddbd75b-887d-397a-14aa-3e4052a2a2eb.htm,https://www.revitapidocs.com/2025/9ddbd75b-887d-397a-14aa-3e4052a2a2eb.htm,exact,no,no,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.FamilyManager,ReplaceParameter,method,HAS_PARAMETER,Autodesk.Revit.DB.FamilyParameter,https://www.revitapidocs.com/2025/b276c350-b06f-69fe-c9e2-a9d938c3e973.htm,https://www.revitapidocs.com/2025/b276c350-b06f-69fe-c9e2-a9d938c3e973.htm,exact,no,no,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.FamilyParameter,AssociatedParameters,property,HAS_PARAMETER,Autodesk.Revit.DB.ParameterSet,https://www.revitapidocs.com/2025/7c53d717-b977-3ce3-2ee8-ecf2da61ffb5.htm,https://www.revitapidocs.com/2025/7c53d717-b977-3ce3-2ee8-ecf2da61ffb5.htm,exact,no,no,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.FilteredWorksetCollector,FirstWorkset,method,OWNED_BY_WORKSET,Autodesk.Revit.DB.Workset,https://www.revitapidocs.com/2025/2bec8a78-762f-3c54-8f9d-3df46e1d133b.htm,https://www.revitapidocs.com/2025/2bec8a78-762f-3c54-8f9d-3df46e1d133b.htm,exact,no,no,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.FilteredWorksetCollector,FirstWorksetId,method,OWNED_BY_WORKSET,Autodesk.Revit.DB.Workset,https://www.revitapidocs.com/2025/dc790ba3-0477-1e2f-cc76-1ee64747d5a8.htm,https://www.revitapidocs.com/2025/dc790ba3-0477-1e2f-cc76-1ee64747d5a8.htm,exact,no,no,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.FilteredWorksetIdIterator,Current,property,OWNED_BY_WORKSET,Autodesk.Revit.DB.Workset,https://www.revitapidocs.com/2025/ba1f2d85-898b-2985-7a0d-2fc7bbb29430.htm,https://www.revitapidocs.com/2025/ba1f2d85-898b-2985-7a0d-2fc7bbb29430.htm,exact,no,no,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.FilteredWorksetIdIterator,GetCurrent,method,OWNED_BY_WORKSET,Autodesk.Revit.DB.Workset,https://www.revitapidocs.com/2025/ef99d539-5039-bf16-ee24-91daef82355d.htm,https://www.revitapidocs.com/2025/ef99d539-5039-bf16-ee24-91daef82355d.htm,exact,no,no,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.FloorType,ThermalProperties,property,REFERENCES,Autodesk.Revit.DB.ThermalProperties,https://www.revitapidocs.com/2025/6f9d4f62-7790-f885-da06-7711588359be.htm,https://www.revitapidocs.com/2025/6f9d4f62-7790-f885-da06-7711588359be.htm,exact,yes,no,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.GeometryElement,MaterialElement,property,USES_MATERIAL,Autodesk.Revit.DB.Material,https://www.revitapidocs.com/2025/4cbdd815-d02b-36a2-ef56-87b2138bb148.htm,https://www.revitapidocs.com/2025/4cbdd815-d02b-36a2-ef56-87b2138bb148.htm,exact,no,yes,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.AssemblyInstance,GetMemberIds,method,MEMBER_OF_GROUP,,https://www.revitapidocs.com/2025/09acaa13-d13a-776b-6019-fd5840dad996.htm,https://www.revitapidocs.com/2025/09acaa13-d13a-776b-6019-fd5840dad996.htm,none,yes,no,signature_verified_declared,not_validated,not_relevant,intentionally_irrelevant_to_persistent_file_analysis,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,,not_applicable,No action unless future evidence ties it to persisted configuration.,no
Autodesk.Revit.DB.BIMExportOptions,ViewId,property,REFERENCES,Autodesk.Revit.DB.View,https://www.revitapidocs.com/2025/a5864496-b5d0-a1be-ca12-125b7ce9b40d.htm,https://www.revitapidocs.com/2025/a5864496-b5d0-a1be-ca12-125b7ce9b40d.htm,exact,no,yes,signature_verified_declared,not_validated,not_relevant,intentionally_irrelevant_to_persistent_file_analysis,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,,not_applicable,No action unless future evidence ties it to persisted configuration.,no
Autodesk.Revit.DB.BrowserOrganization,SortingParameterId,property,HAS_PARAMETER,,https://www.revitapidocs.com/2025/f709abcf-baa3-085c-4fdd-8ab09ee976b8.htm,https://www.revitapidocs.com/2025/f709abcf-baa3-085c-4fdd-8ab09ee976b8.htm,none,yes,no,signature_verified_declared,not_validated,not_relevant,intentionally_irrelevant_to_persistent_file_analysis,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,,not_applicable,No action unless future evidence ties it to persisted configuration.,no
Autodesk.Revit.DB.CADLinkOptions,ViewId,property,REFERENCES,Autodesk.Revit.DB.View,https://www.revitapidocs.com/2025/0a19b743-8512-da8b-006d-cd703987310d.htm,https://www.revitapidocs.com/2025/0a19b743-8512-da8b-006d-cd703987310d.htm,exact,no,yes,signature_verified_declared,not_validated,not_relevant,intentionally_irrelevant_to_persistent_file_analysis,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,,not_applicable,No action unless future evidence ties it to persisted configuration.,no
Autodesk.Revit.DB.ColorFillScheme,GetSupportedParameterIds,method,HAS_PARAMETER,,https://www.revitapidocs.com/2025/d19ac539-c56d-1c3c-1b7b-8801e9713c06.htm,https://www.revitapidocs.com/2025/d19ac539-c56d-1c3c-1b7b-8801e9713c06.htm,none,yes,no,signature_verified_declared,not_validated,not_relevant,intentionally_irrelevant_to_persistent_file_analysis,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,,not_applicable,No action unless future evidence ties it to persisted configuration.,no
Autodesk.Revit.DB.ColorFillScheme,ParameterDefinition,property,HAS_PARAMETER,,https://www.revitapidocs.com/2025/554f7720-d040-ebcf-5986-9910b8038b87.htm,https://www.revitapidocs.com/2025/554f7720-d040-ebcf-5986-9910b8038b87.htm,none,yes,no,signature_verified_declared,not_validated,not_relevant,intentionally_irrelevant_to_persistent_file_analysis,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,,not_applicable,No action unless future evidence ties it to persisted configuration.,no
Autodesk.Revit.DB.CurveByPointsUtils,GetHostFace,method,HOSTED_BY,Autodesk.Revit.DB.Reference,https://www.revitapidocs.com/2025/19436661-0781-47be-8880-43f0eb451baf.htm,https://www.revitapidocs.com/2025/19436661-0781-47be-8880-43f0eb451baf.htm,exact,no,no,signature_verified_declared,not_validated,not_relevant,intentionally_irrelevant_to_persistent_file_analysis,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,,not_applicable,No action unless future evidence ties it to persisted configuration.,no
Autodesk.Revit.DB.DWFImportOptions,GetSheetViews,method,PLACED_ON_SHEET,Autodesk.Revit.DB.ViewSheet,https://www.revitapidocs.com/2025/532b4d54-d4f9-1cd1-09d6-41f3b0169780.htm,https://www.revitapidocs.com/2025/532b4d54-d4f9-1cd1-09d6-41f3b0169780.htm,exact,no,yes,signature_verified_declared,not_validated,not_relevant,intentionally_irrelevant_to_persistent_file_analysis,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,,not_applicable,No action unless future evidence ties it to persisted configuration.,no
Autodesk.Revit.DB.DirectShape,TypeId,property,TYPE_OF,,https://www.revitapidocs.com/2025/349629c7-eb65-d4bd-801b-115e1a52878d.htm,https://www.revitapidocs.com/2025/349629c7-eb65-d4bd-801b-115e1a52878d.htm,none,yes,no,signature_verified_declared,not_validated,not_relevant,intentionally_irrelevant_to_persistent_file_analysis,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,,not_applicable,No action unless future evidence ties it to persisted configuration.,no
Autodesk.Revit.DB.DividedSurface,GetAllIntersectionElements,method,RETURNS_ELEMENT_IDS,,https://www.revitapidocs.com/2025/d2debd59-e78a-e355-a89f-eee8de6f874b.htm,https://www.revitapidocs.com/2025/d2debd59-e78a-e355-a89f-eee8de6f874b.htm,none,yes,no,signature_verified_declared,not_validated,not_relevant,intentionally_irrelevant_to_persistent_file_analysis,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,,not_applicable,No action unless future evidence ties it to persisted configuration.,no
